Age Range,Zip Code,City,Gender,Donors,Non-Donors,ID Card Donors,ID Card Non-Donors,Driver License Donors,Driver License Non-Donors,ID Card/Driver License Donors,ID Card/Driver License Non-Donors
51-55,19966,LONG NECK,F,1,0,0,1,1,0,0,0
61-65,19930,SOUTH BETHANY,M,1,0,0,1,1,0,0,0
56-60,19802,WILMINGTON DE,M,0,1,0,1,0,1,0,0
61-65,19943,FELTON  DE,F,0,1,0,1,0,1,0,0
51-55,19720,NEW CASTLE DE,F,0,1,0,1,0,1,0,0
21-25,19805,WILMINGTION,M,0,1,0,1,0,1,0,0
56-60,19702,NEWARK DE,M,0,1,0,1,0,1,0,0
71+,19901,DOVER DE,F,0,1,0,1,0,1,0,0
41-45,19980,WOODSIDE,F,4,3,0,7,4,3,0,0
61-65,19808,MARSHALLTON,M,3,3,0,6,3,3,0,1
71+,19970,CLARKSVILLE,F,1,0,0,1,1,0,0,0
71+,19966,LONGNECK,F,1,0,0,1,1,0,0,0
51-55,19968,MILTON DE,M,0,1,0,1,0,1,0,0
51-55,19802,WIL,M,0,1,0,1,0,1,0,0
51-55,19980,WOODSIDE DELAWA,F,0,1,0,1,0,1,0,0
61-65,19970,MILLVILLE,M,1,0,0,1,1,0,0,0
41-45,19712,NEWARK,M,1,0,0,1,1,0,0,0
71+,19963,SLAUGHTER BEACH,F,1,0,0,1,1,0,0,0
18-20,19931,BETHEL,F,5,1,0,6,5,1,0,0
56-60,19961,LITTLE CREEK,F,1,0,0,1,1,0,0,0
51-55,19930,BETHANY,F,1,0,0,1,1,0,0,0
61-65,19802,WILMINGTONDELAW,F,0,1,0,1,0,1,0,0
56-60,19902,DOVER AFB,F,2,0,0,2,2,0,0,0
71+,19969,NASSAU,F,0,1,0,1,0,1,0,0
41-45,19710,MONTCHANIN,M,1,1,0,2,1,1,0,0
51-55,19706,DELWARE CITY,M,0,1,0,1,0,1,0,0
61-65,19733,ST. GEORGES,M,1,0,0,1,1,0,0,0
61-65,19970,OCEANVIEW,M,0,1,0,1,0,1,0,0
51-55,19801,WILMIGTON,M,0,1,0,1,0,1,0,0
36-40,19944,FENWICK ISLE,F,0,1,0,1,0,1,0,1
51-55,19802,WILMINGTON DE,F,0,1,0,1,0,1,0,0
71+,19970,0CEAN VIEW,M,1,0,0,1,1,0,0,0
66-70,19735,WINTERTHUR,F,1,0,0,1,1,0,0,0
56-60,19964,MARYDEL  DEL,F,0,1,0,1,0,1,0,0
71+,19934,CAMDEN WYO,F,3,2,0,5,3,2,0,0
66-70,19977,SMYRNA DE,F,0,1,0,1,0,1,0,0
61-65,19710,MONTCHANIN,M,3,3,0,6,3,3,0,0
71+,19930,S BETHANY,M,0,1,0,1,0,1,0,0
56-60,19709,MIDDLELTOWN,M,1,0,0,1,1,0,0,0
26-30,19970,MILLVILLE,M,1,0,0,1,1,0,0,0
45-50,19947,GEORETOWN,M,1,0,0,1,1,0,0,0
51-55,19801,WILMINTON,M,0,1,0,1,0,1,0,0
61-65,19713,NEWARK,M,0,1,0,1,0,1,0,0
45-50,39720,NEW CASTLE,F,0,1,0,1,0,1,0,0
45-50,19720,NEW CASTLE DE,F,0,1,0,1,0,1,0,0
71+,19803,WILMINGTON 3,F,2,1,0,3,2,1,0,0
56-60,19958,LEWES DE,M,1,0,1,0,0,1,0,0
26-30,19735,WINTERTHUR,F,1,0,0,1,1,0,0,0
31-35,19975,FENWICK ISL,M,1,0,0,1,1,0,0,0
61-65,19930,BETHANY BCH,M,1,0,0,1,1,0,0,0
71+,19973,REHOBOTH,F,1,0,0,1,1,0,0,0
45-50,19712,NEWARK,M,0,1,0,1,0,1,0,1
71+,19946,FERDERICA,F,1,0,0,1,1,0,0,0
61-65,19804,WILMINGTON DE,M,0,1,0,1,0,1,0,1
51-55,19973,BLADES,M,1,1,0,2,1,1,0,0
71+,19802,WILMNINGTON,F,0,1,0,1,0,1,0,0
31-35,19736,YORKLYN,F,1,1,0,2,1,1,0,0
41-45,19947,GEORGETOW,M,0,1,0,1,0,1,0,0
36-40,19702,CHRISTIANA,M,0,1,0,1,0,1,0,0
71+,19803,WILMINGTON DELA,F,1,0,0,1,1,0,0,0
